Measure	Value	SampleID	Group
Simpson	0.906	T00C06	T00C
Simpson	0.974	T00C07	T00C
Simpson	0.96	T00C08	T00C
Simpson	0.935	T00C09	T00C
Simpson	0.967	T00C10	T00C
Simpson	0.959	T00C11	T00C
Simpson	0.975	T00C12	T00C
Simpson	0.912	T00C13	T00C
Simpson	0.958	T00C14	T00C
Simpson	0.984	T00C15	T00C
Simpson	0.98	T00C16	T00C
Simpson	0.922	T00C17	T00C
Simpson	0.984	T00C18	T00C
Simpson	0.992	T00C19	T00C
Simpson	0.988	T00C20	T00C
Simpson	0.951	T05C01	T05C
Simpson	0.938	T05C02	T05C
Simpson	0.941	T05C03	T05C
Simpson	0.467	T05C04	T05C
Simpson	0.964	T05C05	T05C
Simpson	0.942	T05C06	T05C
Simpson	0.967	T05C07	T05C
Simpson	0.925	T05C08	T05C
Simpson	0.961	T05C09	T05C
Simpson	0.974	T05C10	T05C
Simpson	0.941	T05C11	T05C
Simpson	0.967	T05C12	T05C
Simpson	0.949	T05C13	T05C
Simpson	0.972	T05C14	T05C
Simpson	0.936	T05C15	T05C
Simpson	0.927	T05C16	T05C
Simpson	0.924	T05C17	T05C
Simpson	0.927	T05C18	T05C
Simpson	0.947	T05C19	T05C
Simpson	0.942	T05C20	T05C
Simpson	0.914	T05M01	T05M
Simpson	0.938	T05M02	T05M
Simpson	0.89	T05M03	T05M
Simpson	0.916	T05M04	T05M
Simpson	0.896	T05M05	T05M
Simpson	0.908	T05M06	T05M
Simpson	0.908	T05M07	T05M
Simpson	0.918	T05M08	T05M
Simpson	0.892	T05M09	T05M
Simpson	0.87	T05M10	T05M
Simpson	0.892	T05M11	T05M
Simpson	0.926	T05M12	T05M
Simpson	0.888	T05M13	T05M
Simpson	0.888	T05M14	T05M
Simpson	0.878	T05M15	T05M
Simpson	0.851	T05M16	T05M
Simpson	0.902	T05M17	T05M
Simpson	0.861	T05M18	T05M
Simpson	0.849	T05M19	T05M
Simpson	0.883	T05M20	T05M
Simpson	0.974	T12C01	T12C
Simpson	0.973	T12C02	T12C
Simpson	0.971	T12C03	T12C
Simpson	0.974	T12C04	T12C
Simpson	0.981	T12C05	T12C
Simpson	0.977	T12C06	T12C
Simpson	0.974	T12C07	T12C
Simpson	0.976	T12C08	T12C
Simpson	0.965	T12C09	T12C
Simpson	0.961	T12C10	T12C
Simpson	0.968	T12C11	T12C
Simpson	0.975	T12C12	T12C
