Modu1	Modu2	Both	M1nodes	M2nodes	Pvalues	DF1vsDF2
M2	M2	8	41	44	0.55412085486963	D05M_D12M
M2	M7	0	41	16	1	D05M_D12M
M2	M4	3	41	19	0.698315995690901	D05M_D12M
M2	M5	0	41	10	1	D05M_D12M
M2	M6	0	41	6	1	D05M_D12M
M4	M1	2	14	33	0.627917417142061	D05M_D12M
M4	M3	4	14	64	0.584303522878044	D05M_D12M
M4	M2	1	14	44	0.954316236350365	D05M_D12M
M4	M7	0	14	16	1	D05M_D12M
M4	M4	3	14	19	0.0981398040033297	D05M_D12M
M4	M5	0	14	10	1	D05M_D12M
M4	M6	0	14	6	1	D05M_D12M
M7	M1	0	6	33	1	D05M_D12M
M7	M3	0	6	64	1	D05M_D12M
M7	M2	0	6	44	1	D05M_D12M
M7	M7	4	6	16	0.000224161158009144	D05M_D12M
M7	M4	0	6	19	1	D05M_D12M
M7	M5	0	6	10	1	D05M_D12M
M7	M6	0	6	6	1	D05M_D12M
M5	M2	0	8	62	1	D05M_D21M
M5	M4	0	8	78	1	D05M_D21M
M5	M1	0	8	71	1	D05M_D21M
M5	M3	0	8	9	1	D05M_D21M
M5	M6	0	8	7	1	D05M_D21M
M5	M5	0	8	5	1	D05M_D21M
M3	M2	3	15	62	0.730844472202734	D05M_D21M
M3	M4	1	15	78	0.995717389830942	D05M_D21M
M3	M1	7	15	71	0.0755390995921503	D05M_D21M
M3	M3	0	15	9	1	D05M_D21M
M3	M6	0	15	7	1	D05M_D21M
M3	M5	0	15	5	1	D05M_D21M
M1	M2	4	38	62	0.992195435123933	D05M_D21M
M1	M4	14	38	78	0.194560593955691	D05M_D21M
M1	M1	14	38	71	0.102069785132879	D05M_D21M
M1	M3	3	38	9	0.125866998491166	D05M_D21M
M1	M6	0	38	7	1	D05M_D21M
M1	M5	0	38	5	1	D05M_D21M
M2	M2	11	41	62	0.36112482759082	D05M_D21M
M2	M4	4	41	78	0.999780194749624	D05M_D21M
M2	M1	11	41	71	0.578320083233959	D05M_D21M
M2	M3	1	41	9	0.788002557637202	D05M_D21M
M2	M6	0	41	7	1	D05M_D21M
M2	M5	1	41	5	0.574501652068592	D05M_D21M
