OTUID	Kingdom	Phylum	Class	Order	Family	Genus
OTU14	d_Bacteria	p_Nitrospinota	c_P9X2b3D02	o_norank_c_P9X2b3D02	f_norank_o_norank_c_P9X2b3D02	g_norank_f_norank_o_norank_c_P9X2b3D02
OTU1402	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Gammaproteobacteria_Incertae_Sedis	f_unclassified_o_Gammaproteobacteria_Incertae_Sedis	g_norank_f_unclassified
OTU1406	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Ga0077536	f_norank_o_Ga0077536	g_norank_f_norank_o_Ga0077536
OTU1407	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Chitinophagales	f_Saprospiraceae	g_unclassified_f_Saprospiraceae
OTU1422	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Chitinophagales	f_Saprospiraceae	g_Portibacter
OTU1423	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	f_Bacteroidetes_BD2-2	g_norank_f_Bacteroidetes_BD2-2
OTU1425	d_Bacteria	p_Chloroflexi	c_KD4-96	o_norank_c_KD4-96	f_norank_o_norank_c_KD4-96	g_norank_f_norank_o_norank_c_KD4-96
OTU1428	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Bacteroidetes_VC2.1_Bac22	f_norank_o_Bacteroidetes_VC2.1_Bac22	g_norank_f_norank_o_Bacteroidetes_VC2.1_Bac22
OTU143	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfosarcinaceae	g_unclassified_f_Desulfosarcinaceae
OTU1431	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Chromatiales	f_Sedimenticolaceae	g_norank_f_Sedimenticolaceae
OTU1434	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_pItb-vmat-80	f_norank_o_pItb-vmat-80	g_norank_f_norank_o_pItb-vmat-80
OTU1435	d_Bacteria	p_Chloroflexi	c_Anaerolineae	o_SBR1031	f_norank_o_SBR1031	g_norank_f_norank_o_SBR1031
OTU1446	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	f_Bacteroidetes_BD2-2	g_norank_f_Bacteroidetes_BD2-2
OTU1449	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Sphingobacteriales	f_Lentimicrobiaceae	g_norank_f_Lentimicrobiaceae
OTU1452	d_Bacteria	p_Patescibacteria	c_Saccharimonadia	o_Saccharimonadales	f_norank_o_Saccharimonadales	g_norank_f_norank_o_Saccharimonadales
OTU1453	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Milano-WF1B-44	f_norank_o_Milano-WF1B-44	g_norank_f_norank_o_Milano-WF1B-44
OTU1457	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Alteromonadales	f_Marinobacteraceae	g_Marinobacter
